timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_angle
200000,0.0,0.0,0.0
396000,0.0,0.0,0.0
596000,0.0,0.0,0.0
796000,0.0,0.0,0.0
996000,0.0,0.0,0.0
1196000,0.0,0.0,0.0
1396000,0.0,0.0,0.0
1596000,0.0,0.0,0.0
1796000,0.0,0.0,0.0
1996000,0.0,0.0,0.0
2196000,0.0,0.0,0.0
2400000,0.0,0.0,0.0
2596000,0.0,0.0,0.0
2796000,0.0,0.0,0.0
2996000,0.0,0.0,0.0
3200000,0.0,0.0,0.0
3396000,0.0,0.0,0.0
3600000,0.0,0.0,0.0
3796000,0.0,0.0,0.0
3996000,0.0,0.0,0.0
4200000,0.0,0.0,0.0
4400000,0.0,0.0,0.0
4600000,0.0,0.0,0.0
4800000,0.0,0.0,0.0
5000000,0.0,0.0,0.0
5200000,0.0,0.0,0.0
5396000,0.0,0.0,0.0
5596000,0.0,0.0,0.0
5800000,0.0,0.0,0.0
6000000,0.0,0.0,0.0
6196000,0.0,0.0,0.0
6404000,0.0,0.0,0.0
6600000,0.0,0.0,0.0
6804000,0.0,0.0,0.0
7004000,0.0,0.0,0.0
7200000,0.0,0.0,0.0
7404000,0.0,0.0,0.0
7600000,0.0,0.0,0.0
7800000,0.0,0.0,0.0
8000000,0.0,0.0,0.0
8204000,0.0,0.0,0.0
8404000,0.0,0.0,0.0
8604000,0.0,0.0,0.0
8800000,0.0,0.0,0.0
9004000,0.0,0.0,0.0
9204000,0.0,0.0,0.0
9404000,0.0,0.0,0.0
9604000,0.0,0.0,0.0
9804000,0.0,0.0,0.0
10004000,0.0,0.0,0.0
10204000,0.0,0.0,0.0
10404000,0.0,0.0,0.0
10600000,0.0,0.0,0.0
10800000,0.0,0.0,0.0
11000000,0.0,0.0,0.0
11200000,0.0,0.0,0.0
11404000,0.0,0.0,0.0
11600000,0.0,0.0,0.0
11804000,0.0,0.0,0.0
12004000,0.0,0.0,0.0
12204000,0.0,0.0,0.0
12240000,0.0,0.0,0.0
258716000,0.0,0.0,0.0
258916000,0.0,0.0,0.0
259116000,0.0,0.0,0.0
259320000,0.0,0.0,0.0
259520000,0.0,0.0,0.0
